epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,16999,1.2376,0.56661,0.98162,0.87459,0.66739,0.75012,0.42924,1.24639,0.51184,1.01739,0.002872,0.002872,0.002872
74,17231.4,1.23548,0.56776,0.97998,0.87605,0.66629,0.75007,0.42941,1.24617,0.51161,1.01741,0.002773,0.002773,0.002773
75,17463.9,1.22915,0.56048,0.97659,0.87459,0.66725,0.75038,0.42976,1.24595,0.51127,1.01735,0.002674,0.002674,0.002674
76,17696.2,1.23015,0.56045,0.97986,0.87492,0.66748,0.75083,0.42983,1.24582,0.51071,1.01738,0.002575,0.002575,0.002575
77,17928.5,1.23119,0.56328,0.97771,0.87469,0.66805,0.75131,0.4301,1.24576,0.51052,1.01756,0.002476,0.002476,0.002476
78,18160.6,1.2176,0.55514,0.9774,0.8772,0.66644,0.75119,0.43019,1.24572,0.51061,1.01772,0.002377,0.002377,0.002377
79,18392.7,1.22454,0.55796,0.97178,0.87682,0.66705,0.75148,0.43035,1.24575,0.51037,1.01777,0.002278,0.002278,0.002278
80,18625.6,1.22021,0.55467,0.97125,0.87651,0.6671,0.75166,0.43045,1.24567,0.51002,1.01772,0.002179,0.002179,0.002179
81,18858.1,1.21082,0.54892,0.96891,0.87623,0.66759,0.75149,0.4306,1.2459,0.50968,1.01779,0.00208,0.00208,0.00208
82,19091.4,1.21399,0.5468,0.96911,0.877,0.66724,0.75162,0.43084,1.24618,0.50957,1.01797,0.001981,0.001981,0.001981
83,19324.3,1.20832,0.54414,0.96952,0.87591,0.66792,0.75214,0.43106,1.24623,0.50931,1.01807,0.001882,0.001882,0.001882
84,19557,1.2053,0.54171,0.97119,0.87466,0.66927,0.75235,0.43123,1.2463,0.50894,1.0182,0.001783,0.001783,0.001783
85,19790,1.20133,0.54165,0.96826,0.87341,0.66981,0.75228,0.43137,1.24628,0.50868,1.01819,0.001684,0.001684,0.001684
86,20022.1,1.19605,0.53761,0.96615,0.87311,0.67028,0.75266,0.43148,1.24649,0.50841,1.01833,0.001585,0.001585,0.001585
87,20254.9,1.19887,0.53884,0.964,0.87312,0.67002,0.75285,0.43154,1.24656,0.50815,1.01838,0.001486,0.001486,0.001486
88,20487.6,1.19328,0.53492,0.96218,0.87305,0.67031,0.75322,0.43167,1.24654,0.50771,1.01842,0.001387,0.001387,0.001387
89,20720.5,1.18369,0.53003,0.96176,0.87535,0.66881,0.75314,0.4317,1.24643,0.50769,1.01848,0.001288,0.001288,0.001288
90,20952.9,1.18744,0.53094,0.9617,0.87566,0.66876,0.7533,0.43187,1.24651,0.5075,1.01855,0.001189,0.001189,0.001189
91,21185.6,1.14972,0.4964,0.96717,0.87468,0.66922,0.75355,0.43195,1.24662,0.50737,1.01869,0.00109,0.00109,0.00109
92,21417.5,1.14277,0.49163,0.96438,0.87461,0.67,0.75381,0.43204,1.24672,0.50726,1.0188,0.000991,0.000991,0.000991
93,21649.6,1.1395,0.48934,0.96362,0.87437,0.67009,0.75387,0.43212,1.24685,0.50716,1.01896,0.000892,0.000892,0.000892
94,21881.8,1.13025,0.48546,0.95815,0.87406,0.67008,0.75375,0.43216,1.24691,0.50706,1.01906,0.000793,0.000793,0.000793
95,22114.2,1.12519,0.47989,0.96166,0.87383,0.67061,0.75413,0.43223,1.24713,0.50703,1.01921,0.000694,0.000694,0.000694
96,22346.5,1.12709,0.47929,0.95777,0.87467,0.67035,0.75422,0.4323,1.24704,0.5068,1.01933,0.000595,0.000595,0.000595
97,22578.7,1.11805,0.47615,0.9554,0.87447,0.67119,0.75436,0.43233,1.247,0.50686,1.01945,0.000496,0.000496,0.000496
98,22810.9,1.11699,0.47347,0.95439,0.87431,0.67105,0.75427,0.4324,1.2474,0.50671,1.01964,0.000397,0.000397,0.000397
99,23043,1.11082,0.4693,0.95295,0.87406,0.67077,0.75418,0.43238,1.24748,0.50679,1.01976,0.000298,0.000298,0.000298
100,23275.3,1.10827,0.47147,0.95185,0.87396,0.67139,0.75446,0.43234,1.24773,0.50674,1.01994,0.000199,0.000199,0.000199
