epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,9088.8,1.24239,0.56917,0.94129,0.86747,0.64202,0.72862,0.41149,1.30318,0.54504,0.99787,0.001882,0.001882,0.001882
84,9198.23,1.23101,0.56359,0.9408,0.8668,0.64263,0.72854,0.41157,1.30327,0.545,0.9978,0.001783,0.001783,0.001783
85,9307.73,1.23099,0.56249,0.94052,0.86692,0.64253,0.7285,0.41142,1.30322,0.54481,0.99779,0.001684,0.001684,0.001684
86,9416.73,1.21637,0.55487,0.93999,0.86851,0.64199,0.72867,0.41164,1.30329,0.54453,0.99797,0.001585,0.001585,0.001585
87,9525.97,1.21786,0.55512,0.93932,0.86876,0.64179,0.72865,0.41157,1.30371,0.54438,0.99804,0.001486,0.001486,0.001486
88,9635.1,1.21582,0.55417,0.93654,0.86821,0.64202,0.72865,0.41161,1.30402,0.54443,0.99815,0.001387,0.001387,0.001387
89,9744.18,1.212,0.5519,0.93637,0.86844,0.64185,0.72848,0.41151,1.30426,0.54432,0.99831,0.001288,0.001288,0.001288
90,9853.72,1.20801,0.55025,0.9343,0.86818,0.64187,0.72881,0.41162,1.30415,0.54407,0.99832,0.001189,0.001189,0.001189
91,9962.32,1.18538,0.52266,0.93445,0.86895,0.64212,0.72907,0.41169,1.30443,0.544,0.99849,0.00109,0.00109,0.00109
92,10070.5,1.17216,0.51665,0.93046,0.86917,0.64169,0.72868,0.41159,1.30436,0.5439,0.99853,0.000991,0.000991,0.000991
93,10178.8,1.17168,0.51576,0.9306,0.86763,0.64212,0.72864,0.41161,1.30449,0.54395,0.99868,0.000892,0.000892,0.000892
94,10286.8,1.16229,0.51113,0.92676,0.86731,0.6426,0.72889,0.41172,1.30458,0.54382,0.99884,0.000793,0.000793,0.000793
95,10394.8,1.1609,0.5082,0.9263,0.86752,0.6422,0.72872,0.41184,1.30494,0.54372,0.99906,0.000694,0.000694,0.000694
96,10502.8,1.15437,0.50339,0.92443,0.86818,0.64204,0.72878,0.41178,1.30518,0.54367,0.99911,0.000595,0.000595,0.000595
97,10610.9,1.15168,0.50338,0.92132,0.86855,0.64151,0.72871,0.4118,1.30549,0.54352,0.99928,0.000496,0.000496,0.000496
98,10718.9,1.14226,0.49804,0.91991,0.86868,0.64125,0.72864,0.41171,1.30579,0.54365,0.99943,0.000397,0.000397,0.000397
99,10826.8,1.14061,0.49604,0.91943,0.86833,0.64151,0.72867,0.41185,1.3061,0.54349,0.9996,0.000298,0.000298,0.000298
100,10935.1,1.13706,0.49562,0.91714,0.86888,0.64141,0.7288,0.41172,1.30636,0.54355,0.9998,0.000199,0.000199,0.000199
